Технология;Назначение;Уровень;Описание
NextJS;Фреймворк веб-приложений;Фронтенд;React-фреймворк с поддержкой SSR, SSG и API Routes для серверного рендеринга
React;Библиотека пользовательских интерфейсов;Фронтенд;Декларативная библиотека для построения компонентного UI
TailwindCSS;CSS-фреймворк;Фронтенд;Утилитарный CSS-фреймворк для быстрой стилизации компонентов
PrimeReact;Библиотека UI-компонентов;Фронтенд;Набор готовых React-компонентов: таблицы, диалоги, формы, графики
NestJS;Серверный фреймворк;Бэкенд;Модульный Node.js-фреймворк с поддержкой TypeScript, DI и модульной архитектуры
Prisma;ORM-решение;Бэкенд;Schema-first ORM с автогенерацией типизированного клиента и встроенными миграциями
PostgreSQL;Система управления базами данных;Бэкенд;Реляционная СУБД с поддержкой ACID-транзакций, расширенных типов и индексирования
TypeScript;Язык программирования;Фронтенд/Бэкенд;Типизированное надмножество JavaScript для повышения надёжности кода
.NET MAUI;Кроссплатформенный фреймворк;Мобильное приложение;Фреймворк для создания мобильных приложений на C# с поддержкой Android и iOS
JWT;Механизм аутентификации;Бэкенд;JSON Web Tokens для Stateless-аутентификации и авторизации пользователей
Vercel;Платформа развёртывания;Инфраструктура;Облачная платформа для хостинга NextJS-приложений и serverless-функций
Docker;Система контейнеризации;Инфраструктура;Контейнеризация сервисов для обеспечения воспроизводимости окружения
