Наименование,Минимальные требования,Рекомендуемые требования
Операционная система,Windows 10 / macOS 10.15 / Linux (Ubuntu 20.04+),Windows 11 / macOS 13+ / актуальная версия Linux
Процессор,Intel Core i3 6-го поколения / AMD Ryzen 3 1200,Intel Core i5 8-го поколения / AMD Ryzen 5 2600
Частота процессора,1.5 ГГц,2.0 ГГц и выше
Оперативная память,2 ГБ,4 ГБ и более
Накопитель,200 МБ свободного места,500 МБ свободного места
Видеокарта,Встроенная графика с поддержкой DirectX 11 / OpenGL 3.2,Дискретная видеокарта с поддержкой DirectX 12
Браузер,Chrome 90+ / Firefox 90+ / Edge 90+ / Safari 15+,Последняя стабильная версия браузера
Устройства взаимодействия с пользователем,Клавиатура и мышь / тачпад,Клавиатура и мышь / сенсорный экран
Интернет-соединение,1 Мбит/с,5 Мбит/с и выше
Разрешение экрана,1024×768,1366×768 и выше
